scene_id,acquisition_date,orbit_relative,pass_direction,status,area_km2,threshold_db,otsu_eta,valley_ratio,separability,detail
S1A_IW_GRDH_1SDV_20221025T125638_20221025T125703_045599_0573C6_C620,2022-10-25,27,ASC,ok,240.89630496176653,-21.93750824568396,0.9118166694103256,0.14814335311431576,0.945073038876701,
S1A_IW_GRDH_1SDV_20221106T125638_20221106T125703_045774_0579B1_D30D,2022-11-06,27,ASC,ok,238.1896859872821,-21.935948390809838,0.9011939932050452,0.1951667626410743,0.9386444678527346,
S1A_IW_GRDH_1SDV_20221118T125638_20221118T125703_045949_057F96_A25A,2022-11-18,27,ASC,ok,235.3348479794104,-22.313801927056712,0.8878817290671215,0.24165266643801242,0.9299539423036117,
S1A_IW_GRDH_1SDV_20221130T125637_20221130T125702_046124_058589_0989,2022-11-30,27,ASC,ok,232.408808079161,-22.43744451672479,0.873498136792164,0.31574638379077724,0.9203632816768756,
S1A_IW_GRDH_1SDV_20221212T125637_20221212T125702_046299_058B7F_961D,2022-12-12,27,ASC,ok,231.47624393623286,-22.56005477158833,0.8632196084395634,0.36888336861465326,0.9143746318106836,
S1A_IW_GRDH_1SDV_20221224T125636_20221224T125701_046474_05917B_C223,2022-12-24,27,ASC,ok,230.62063193156882,-22.562457775871998,0.8540990574884401,0.4578810497828686,0.909174429663554,
S1A_IW_GRDH_1SDV_20230105T125635_20230105T125700_046649_059763_8864,2023-01-05,27,ASC,ok,227.59032465297162,-22.685145093168234,0.8483629784150426,0.49325364803899613,0.9054699819783371,
S1A_IW_GRDH_1SDV_20230117T125634_20230117T125659_046824_059D4D_1A51,2023-01-17,27,ASC,ok,229.94511504279225,-22.3136268701661,0.8366519189112661,0.6553581458933925,0.8993197792557416,
S1A_IW_GRDH_1SDV_20230129T125635_20230129T125700_046999_05A335_BAE3,2023-01-29,27,ASC,ok,221.7997917575381,-22.063195929257585,0.8495303288364838,0.4817631209830202,0.9078974159631942,
S1A_IW_GRDH_1SDV_20230210T125634_20230210T125659_047174_05A903_070E,2023-02-10,27,ASC,ok,221.97763514167653,-21.93962515744301,0.8392065848848688,0.551788539439142,0.9030192246550891,
S1A_IW_GRDH_1SDV_20230222T125633_20230222T125658_047349_05AEFD_C0DB,2023-02-22,27,ASC,ok,215.72595002361095,-22.3118582819069,0.8247577593689853,0.6425741467825984,0.8932445964875292,
S1A_IW_GRDH_1SDV_20230306T125634_20230306T125659_047524_05B4E7_129B,2023-03-06,27,ASC,abstain,,-22.062399320550544,0.815001378900451,0.7599752451987739,0.8888837352959981,histogram not bimodal
